state,parlimen,Votes out of box,Votes in the box,Votes not return,Votes Minus,Majority,The percentage of voters,Spoilt votes,Number of voters,Number of absentee voters,The percentage of spoilt votes vs whole votes,The percentage of spoilt votes vs majority votes,The percentage of absentee votes vs whole votes
Perlis,P.001 Padang Besar,46059,45982,77,694,12514,76.52013557,771,60192,14133,1.673939947,6.161099568,112.93751
Perlis,P.002 Kangar,56968,56860,108,660,9192,76.10040209,768,74859,17891,1.348125263,8.355091384,194.6366406
Perlis,P.003 Arau,47604,47516,88,727,23216,78.19830475,815,60876,13272,1.712041005,3.510509993,57.16747071
Kedah,P.004 Langkawi,48123,47988,135,508,13518,72.06523204,643,66777,18654,1.336159425,4.756620802,137.9937861
Kedah,P.005 Jerlun,52909,52824,85,617,20456,78.26659369,702,67601,14692,1.326806403,3.431755964,71.82244818
Kedah,P.006 Kubang Pasu,84486,84239,247,837,31584,78.07091307,1084,108217,23731,1.283052813,3.432117528,75.13614488
Kedah,P.007 Padang Terap,49341,49261,80,632,10959,82.50175568,712,59806,10465,1.44301899,6.496943152,95.49228944
Kedah,P.008 Pokok Sena,88976,88767,209,823,31751,77.47957993,1032,114838,25862,1.159863334,3.250291329,81.45255268
Kedah,P.009 Alor Setar,77969,77760,209,774,9931,73.55982414,983,105994,28025,1.260757481,9.898298258,282.1971604
Kedah,P.010 Kuala Kedah,101510,101286,224,811,28061,76.61132075,1035,132500,30990,1.01960398,3.688393144,110.4379744
Kedah,P.011 Pendang,76381,76244,137,650,31289,80.78627561,787,94547,18166,1.030360954,2.515260954,58.05874269
Kedah,P.012 Jerai,83294,83130,164,837,33192,79.32686355,1001,105001,21707,1.201767234,3.015786937,65.39828874
Kedah,P.013 Sik,51659,51577,82,416,21787,81.83474321,498,63126,11467,0.964014015,2.285766742,52.63230367
Kedah,P.014 Merbok,103779,103571,208,1027,21019,78.35689046,1235,132444,28665,1.190028811,5.875636329,136.3766116
Kedah,P.015 Sungai Petani,131447,131191,256,1187,1115,77.84976932,1443,168847,37400,1.097780855,129.4170404,3354.26009
Kedah,P.016 Baling,110353,110205,148,1141,29137,83.538104,1289,132099,21746,1.16806974,4.423928339,74.63362735
Kedah,P.018 Kulim-Bandar Baharu,71440,71267,349,938,13061,79.25361378,1287,90141,18701,1.801511758,9.853763112,143.1819922
Kelantan,P.019 Tumpat,106173,105892,281,1233,34793,71.08006239,1514,149371,43198,1.425974589,4.351450004,124.157158
Kelantan,P.020 Pengkalan Chepa,78659,78391,268,630,38270,73.52545288,898,106982,28323,1.141636685,2.346485498,74.00836164
Kelantan,P.021 Kota Bharu,79028,78740,288,721,22613,68.45214379,1009,115450,36422,1.276762666,4.462035113,161.0666431
Kelantan,P.022 Pasir Mas,66145,65972,173,819,30717,69.96213403,992,94544,28399,1.49973543,3.229482046,92.45369014
Kelantan,P.023 Rantau Panjang,61406,61195,211,668,20636,65.85235072,879,93248,31842,1.431456209,4.259546424,154.3031595
Kelantan,P.024 Kubang Kerian,82502,82159,343,775,40847,72.59943682,1118,113640,31138,1.355118664,2.737043112,76.23081254
Kelantan,P.025 Bachok,91223,90956,267,1539,29901,74.05486147,1806,123183,31960,1.979763875,6.039931775,106.8860573
Kelantan,P.026 Ketereh,64060,63762,298,900,23107,75.11637997,1198,85281,21221,1.870121761,5.184576102,91.83797118
Kelantan,P.027 Tanah Merah,70667,70310,357,624,44485,71.53833694,981,98782,28115,1.388200999,2.205237721,63.20107902
Kelantan,P.028 Pasir Puteh,82228,81991,237,1013,29109,72.72309189,1250,113070,30842,1.520163448,4.294204542,105.9534852
Kelantan,P.029 Machang,66024,65847,177,733,10154,74.33042499,910,88825,22801,1.378286684,8.961985424,224.5519007
Kelantan,P.030 Jeli,43732,43588,144,635,12464,73.1328807,779,59798,16066,1.781304308,6.25,128.8992298
Kelantan,P.031 Kuala Krai,65684,65477,207,796,25188,71.13662208,1003,92335,26651,1.527008099,3.982054947,105.8083214
Kelantan,P.032 Gua Musang,49699,49120,579,743,163,70.74187947,1322,70254,20555,2.66001328,811.0429448,12610.42945
Terengganu,P.033 Besut,86487,86241,246,877,18666,77.46260636,1123,111650,25163,1.29846104,6.016286296,134.8066002
Terengganu,P.034 Setiu,86029,85876,153,1044,19032,80.1806252,1197,107294,21265,1.391391275,6.289407314,111.732871
Terengganu,P.035 Kuala Nerus,88593,88364,229,736,29765,83.61616581,965,105952,17359,1.089250844,3.242062825,58.3201747
Terengganu,P.036 Kuala Terengganu,97605,97319,286,767,40907,79.15737399,1053,123305,25700,1.078838174,2.574131567,62.8254333
Terengganu,P.037 Marang,110312,110016,296,948,41729,83.72446037,1244,131756,21444,1.127710494,2.981140214,51.38872247
Terengganu,P.038 Hulu Terengganu,72970,72801,169,793,15734,82.99873745,962,87917,14947,1.318350007,6.114147706,94.9980933
Terengganu,P.039 Dungun,92128,92005,123,736,34105,79.72377746,859,115559,23431,0.932398402,2.518692274,68.70253629
Terengganu,P.040 Kemaman,114533,114383,150,1288,27179,82.14785222,1438,139423,24890,1.25553334,5.290849553,91.57805659
Pulau Pinang,P.041 Kepala Batas,70150,70016,134,714,2867,84.43567121,848,83081,12931,1.208838204,29.57795605,451.0289501
Pulau Pinang,P.042 Tasek Gelugor,67790,67654,136,542,12252,83.82796656,678,80868,13078,1.000147514,5.533790402,106.7417564
Pulau Pinang,P.043 Bagan,69516,69392,124,738,49648,77.71753105,862,89447,19931,1.240002302,1.73622301,40.14461811
Pulau Pinang,P.044 Permatang Pauh,88254,88096,158,648,5272,82.33724554,806,107186,18932,0.913273053,15.28831563,359.1047041
Pulau Pinang,P.045 Bukit Mertajam,93695,93512,183,767,57685,77.54988868,950,120819,27124,1.013928171,1.646875271,47.02088931
Pulau Pinang,P.046 Batu Kawan,69759,69670,89,839,40400,78.546818,928,88812,19053,1.330294299,2.297029703,47.16089109
Pulau Pinang,P.047 Nibong Tebal,80477,80329,148,1021,16293,80.42713518,1169,100062,19585,1.452588938,7.174860369,120.204996
Pulau Pinang,P.048 Bukit Bendera,63404,63142,262,653,42610,68.52930686,915,92521,29117,1.443126617,2.147383243,68.33372448
Pulau Pinang,P.049 Tanjong,38141,38069,72,386,28754,72.2326383,458,52803,14662,1.20080753,1.592821868,50.99116645
Pulau Pinang,P.050 Jelutong,71753,71565,188,858,38604,76.34191235,1046,93989,22236,1.457778769,2.709563776,57.60024868
Pulau Pinang,P.051 Bukit Gelugor,86996,86719,277,646,63112,74.27049362,923,117134,30138,1.06096832,1.462479402,47.75320066
Pulau Pinang,P.052 Bayan Baru,91217,90878,339,1170,34902,76.24289535,1509,119640,28423,1.654296896,4.323534468,81.43659389
Pulau Pinang,P.053 Balik Pulau,64937,64774,163,863,1582,80.90426592,1026,80264,15327,1.579992916,64.85461441,968.8369153
Perak,P.054 Gerik,35360,35282,78,670,1377,74.34037633,748,47565,12205,2.115384615,54.32098765,886.3471314
Perak,P.055 Lenggong,28189,28122,67,443,879,76.28958051,510,36950,8761,1.809216361,58.02047782,996.7007964
Perak,P.056 Larut,52764,52610,154,735,11598,80.28728374,889,65719,12955,1.68486089,7.665114675,111.7002932
Perak,P.057 Parit Buntar,53596,53495,101,592,5395,78.24005139,693,68502,14906,1.293006941,12.84522706,276.2928638
Perak,P.058 Bagan Serai,63521,63428,93,895,18551,79.11150412,988,80293,16772,1.55539113,5.325858444,90.41022047
Perak,P.059 Bukit Gantang,72735,72600,135,1033,12756,77.16995745,1168,94253,21518,1.605829381,9.156475384,168.6892443
Perak,P.060 Taiping,86136,85890,246,1121,25529,70.85533784,1367,121566,35430,1.587025169,5.354694661,138.7833444
Perak,P.061 Padang Rengas,30316,30248,68,370,3046,78.36426614,438,38686,8370,1.444781633,14.37951412,274.7866054
Perak,P.062 Sungai Siput,52725,52640,85,991,1846,72.8296153,1076,72395,19670,2.04077762,58.28819068,1065.547129
Perak,P.063 Tambun,126444,126138,306,1369,3736,78.75284944,1675,160558,34114,1.324697099,44.83404711,913.1156317
